id,user_id,title,slug,phone,phone_owner,website,screenshot_file_id,favicon_file_id,description,primary_image_url,address_line_1,address_line_2,city,state,postal_code,country,latitude,longitude,employees,yelp_url,favorite,created_at,updated_at
1,,Millcreek Veterinary Clinic,millcreek-veterinary-clinic,(801) 487-7791,(435) 649-0710,http://millcreekveterinaryclinic.com,1,122,,,2361 E 3300th S,,Salt Lake City,UT,84109,US,40.70012520,-111.82306800,10 to 19,https://www.yelp.com/biz/millcreek-veterinary-clinic-salt-lake-city,1,2024-05-03 18:42:45,2024-05-17 14:34:59
2,,Petcare Animal Hospital,petcare-animal-hospital,(801) 302-9061,(801) 634-1971,http://www.petcareanimalhospitalutah.com,2,123,,,1173 W S Jordan Pkwy,,South Jordan,UT,84095,US,40.56138840,-111.92633820,20 to 49,https://www.yelp.com/biz/petcare-animal-hospital-south-jordan,1,2024-05-03 18:42:45,2024-05-17 06:25:47
3,,The Travel Vet,the-travel-vet,(801) 989-4331,,http://www.thetravelvet.com,3,124,,,,,Farmington,UT,84025,US,40.97814600,-111.88764500,,https://www.yelp.com/biz/the-travel-vet-farmington,0,2024-05-03 18:42:45,2024-05-10 23:00:24
4,,Town & Country Veterinary Hospital,town-amp-country-veterinary-hospital,(801) 328-8543,(415) 857-0651,http://www.tcvh.com,4,125,,,1220 S State St,,Salt Lake City,UT,84111,US,40.74229850,-111.88861580,5 to 9,https://www.yelp.com/biz/town-and-country-veterinary-hospital-salt-lake-city,0,2024-05-03 18:42:45,2024-05-17 06:22:30
5,,Neighborhood Veterinary Care,neighborhood-veterinary-care,(801) 281-8387,,https://www.nvetcare.com,5,126,,,887 E Vine St,,Murray,UT,84107,US,40.65444350,-111.87087590,10 to 19,https://www.yelp.com/biz/neighborhood-veterinary-care-murray,0,2024-05-03 18:42:45,2024-05-10 23:00:27
7,,Major Street Pet Services,major-street-pet-services,(801) 487-2814,,http://www.majorstreetpetservices.com,7,128,,,1727 Major St,,Salt Lake City,UT,84115,US,40.73286070,-111.88934950,,https://www.yelp.com/biz/major-street-pet-services-salt-lake-city,0,2024-05-03 18:42:45,2024-05-10 23:00:36
8,,University Veterinary Hospital,university-veterinary-hospital-amp-diagnostic-center,(801) 596-9005,,https://www.uvhdc.com,8,129,,,952 E 900th S,,Salt Lake City,UT,84105,US,40.74956740,-111.86370950,20 to 49,https://www.yelp.com/biz/university-veterinary-hospital-and-diagnostic-center-salt-lake-city,0,2024-05-03 18:42:45,2024-05-10 23:00:39
9,,Holladay Veterinary Hospital,holladay-veterinary-hospital,(801) 272-5557,(801) 278-2859,https://www.holladayveterinaryhospital.com,9,130,,,4732 S Highland Dr,,Salt Lake City,UT,84117,US,40.66710630,-111.84002060,20 to 49,https://www.yelp.com/biz/holladay-veterinary-hospital-salt-lake-city-2,0,2024-05-03 18:42:45,2024-05-10 23:00:42
11,,Pet Loss At Home,pet-loss-at-home-home-euthanasia-vets,(877) 219-4811,,http://www.PetLossAtHome.com,10,131,,,,,Salt Lake City,UT,84098,US,40.76077930,-111.89104740,,https://www.yelp.com/biz/pet-loss-at-home-home-euthanasia-vets-salt-lake-city,0,2024-05-03 18:42:45,2024-05-10 23:00:48
12,,East Valley Veterinary Clinic,east-valley-veterinary-clinic,(801) 467-0661,,https://www.eastvalleyveterinaryclinic.com,11,132,,,2675 Parleys Way,,Salt Lake City,UT,84109,US,40.71975180,-111.81516000,20 to 49,https://www.yelp.com/biz/east-valley-veterinary-clinic-salt-lake-city-2,0,2024-05-03 18:42:45,2024-05-10 23:00:52
13,,Olympus Cove Veterinary Clinic,olympus-cove-veterinary-clinic,(801) 485-6060,,http://www.olympuscovevet.com,12,133,,,3243 E 3300th S,,Salt Lake City,UT,84109,US,40.70060950,-111.80357310,,https://www.yelp.com/biz/olympus-cove-veterinary-clinic-salt-lake-city,0,2024-05-03 18:42:45,2024-05-10 23:00:57
14,,Riverton Veterinary Hospital,riverton-veterinary-hospital,(801) 254-6621,,https://rivertonvetclinic.com,244,,,,2789 W 12600th S,,Riverton,UT,84065,US,40.52193080,-111.95954400,20 to 49,https://www.yelp.com/biz/riverton-veterinary-hospital-riverton,0,2024-05-03 18:42:45,2024-05-16 16:56:35
15,,Hillside Veterinary Hospital,hillside-veterinary-hospital,(801) 943-2154,,http://www.hillsidevet.com,13,134,,,7054 S 2300th E,,Cottonwood Heights,UT,84121,US,40.62302120,-111.82524350,,https://www.yelp.com/biz/hillside-veterinary-hospital-cottonwood-heights-2,0,2024-05-03 18:42:45,2024-05-10 23:01:01
16,,Advanced Veterinary Care,advanced-veterinary-care,(801) 942-3951,(208) 346-2542,https://www.thrivepetcare.com,14,135,,,1021 E 3300 S,,Millcreek,UT,84106,US,40.70021700,-111.86204330,1 to 4,https://www.yelp.com/biz/advanced-veterinary-care-millcreek,0,2024-05-03 18:42:45,2024-05-10 23:01:05
17,,Red Butte Veterinary Care,red-butte-veterinary-care,(801) 583-1340,,http://www.redbuttevet.com,15,136,,,1340 S 2100th E,,Salt Lake City,UT,84108,US,40.74074160,-111.83107760,5 to 9,https://www.yelp.com/biz/red-butte-veterinary-care-salt-lake-city,1,2024-05-03 18:42:45,2024-05-17 14:35:25
18,,VCA Cottonwood Animal Hospital,vca-cottonwood-animal-hospital,(801) 278-0505,,https://vcahospitals.com,16,137,,,6360 Highland Dr,,Salt Lake City,UT,84121,US,40.63590010,-111.83502540,,https://www.yelp.com/biz/vca-cottonwood-animal-hospital-salt-lake-city-3,0,2024-05-03 18:42:45,2024-05-10 23:01:13
19,,Pet Stop Veterinary Clinic,pet-stop-veterinary-clinic,(801) 531-0662,,https://petstopvet.com,17,138,,,44 N 800th W,,Salt Lake City,UT,84116,US,40.77060190,-111.91356680,1 to 4,https://www.yelp.com/biz/pet-stop-veterinary-clinic-salt-lake-city,0,2024-05-03 18:42:45,2024-05-10 23:01:19
20,,Brickyard Animal Hospital,brickyard-animal-hospital,(801) 486-0123,,https://www.brickyardanimal.com,18,139,,,1213 E 3300th S,,Salt Lake City,UT,84106,US,40.70017520,-111.85709140,10 to 19,https://www.yelp.com/biz/brickyard-animal-hospital-salt-lake-city,0,2024-05-03 18:42:45,2024-05-10 23:01:23
